csa2010,csa2020,temp_am_mean,temp_af_mean,temp_pm_mean,mhhi17,mhhi23,trees11,trees17,illness_pctile
Allendale/Irvington/S. Hilton,Allendale/Irvington/S. Hilton,25.367059806835066,34.469680788193976,31.371844606916117,39495.6284722222,52035.6296296296,32.8716374559374,32.3729128252428,72.0
Beechfield/Ten Hills/West Hills,Beechfield/Ten Hills/West Hills,24.532680289542306,33.678286012948476,30.1931087582052,57572.5027472527,74969.4950980392,48.8254570456123,48.6969738536408,59.5
Belair-Edison,Belair-Edison,25.83646936233412,35.06111064533129,31.9461595122886,39624.4820846905,52598.48,20.3580729620662,20.8271249244012,77.0
Brooklyn/Curtis Bay/Hawkins Point,Brooklyn/Curtis Bay/Hawkins Point,25.928402298076985,35.007017822945286,31.61217809484768,40275.2753303964,38121.6815718157,14.4599354445453,14.6318577979818,82.5
Canton,Canton,26.5527560809394,35.15857622143007,32.24994757810862,111891.251824817,165587.17953668,10.2325150963579,12.5166188501406,74.0
Cedonia/Frankford,Cedonia/Frankford,24.9756129682867,34.69084047020575,31.27858637246196,41625.5916870415,54053.640037594,29.0259756263303,29.9136036708748,62.0
Cherry Hill,Cherry Hill,25.46588537819471,34.97566802703501,31.4071733269316,24250.9744525547,27908.57421875,18.9310309782376,20.8275501953477,75.0
Chinquapin Park/Belvedere,Chinquapin Park/Belvedere,24.630303340848535,34.349014910842385,31.091328909612624,54249.575,67885.1160714286,39.9517801942212,39.5494225424018,53.5
Claremont/Armistead,Orchard Ridge/Armistead,25.46283237197524,34.80317951603827,31.702650182892516,34792.619266055,50187.6398305085,28.6748639616118,29.3814043473004,74.0
Clifton-Berea,Clifton-Berea,26.652332024936506,35.92004444700993,32.73575098129762,32288.6987951807,41380.3026315789,8.22637645024124,8.62583131635551,82.0
Cross-Country/Cheswolde,Cross-Country/Cheswolde,24.24204202935294,34.1447575988056,30.808603763486296,56167.0479041916,82309.5440528634,48.1532446758194,47.528356167782,61.666666666666664
Dickeyville/Franklintown,Dickeyville/Franklintown,23.59347580280416,32.47351123172019,29.092676767676767,41463.1219512195,59970.6894736842,71.6644151258965,72.9163135348242,65.0
Dorchester/Ashburton,Dorchester/Ashburton,25.074542894554178,34.62585978418628,31.334426468732257,43640.5760869565,50367.2443181818,30.4184116471618,29.5530191819181,60.5
Downtown/Seton Hill,Downtown/Seton Hill,26.78357395097632,35.46468633153303,32.74561175737433,53762.8745583038,65082.1467181467,6.85343366161066,7.35769776425148,92.0
Edmondson Village,Edmondson Village,24.367357430085907,33.38474456223725,30.17865792359715,41642.113372093,46302.4202453988,55.0862299957012,54.9439182648983,55.0
Fells Point,Fells Point,26.77024850682594,35.21015625,32.394256612627984,91207.1669626998,104262.222321429,7.3719649877771,8.65077960682772,77.0
Forest Park/Walbrook,Forest Park/Walbrook,24.104460875101285,33.36227427943049,30.04362664949647,42499.5,71156.8245033113,52.8946585964153,53.1119646107924,63.5
Glen-Fallstaff,Glen-Fallstaff,24.968831630081116,34.800020622336284,31.45796480454608,40869.826,55265.3262032086,28.2213262036028,27.9370179953021,68.0
Greater Charles Village/Barclay,Greater Charles Village/Barclay,25.94565174129353,35.72427114427861,32.33134825870647,39097.2196078431,63578.1875,23.1996468857575,23.2709117110182,75.0
Greater Govans,Greater Govans,24.88125237281701,34.52536837984054,31.27510440394837,41249.75,56858.0930232558,32.0769626793359,31.607310411063,62.0
Greater Mondawmin,Greater Mondawmin,25.485148158803224,34.99126550313259,31.82019163150492,37254.4509803921,45568.5380434783,21.8110097905693,21.4574987687235,71.33333333333333
Greater Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,24.07411275468545,33.75562064447525,30.178906442853616,113496.137873754,127879.925650558,58.7351039524454,59.767093971074,49.5
Greater Rosemont,Greater Rosemont,25.254321452263103,34.776461320610295,31.64457888962596,35055.4076354679,40203.0027472527,27.4015842795095,26.6251080826544,77.0
Hamilton,Hamilton,25.19153562068144,34.41916249702168,31.26719680724327,65130.4990654205,66229.5326633166,34.2458510822535,34.8422893116031,62.5
Harford/Echodale,Hamilton Hills,25.19710524581521,34.328083811124294,31.255239224990113,55808.7038895859,79666.9352290679,29.8687825892773,29.5970309161524,65.75
Highlandtown,Highlandtown,26.87217322218128,35.71536189664702,32.91605448599853,82652.1329268292,122280.717391304,3.18834223273199,4.14701364489258,63.0
Howard Park/West Arlington,Howard Park/West Arlington,24.44625563781806,34.13833290783763,30.77130882478087,53318.2522123893,54195.8348837209,39.5401630495406,38.3363363879341,68.5
Inner Harbor/Federal Hill,Inner Harbor/Federal Hill,26.945050245309,35.19141095713548,32.406274208125325,98763.4645799011,119054.072145546,8.6299053065597,9.88681464420267,87.33333333333333
Lauraville,Greater Lauraville,24.98338175353395,34.25492964617119,31.005065150463967,67320.3718152866,86333.9585714286,39.9805324666421,40.3359826923609,62.5
Loch Raven,Loch Raven,24.974446570934003,34.34674951849233,31.238117731672233,52079.9806603773,62930.6439790576,33.16970701034,32.2212976148564,62.5
Madison/East End,Madison/East End,26.90794721784936,36.85747154274643,33.27141862436425,29975.8564814814,45844.154676259,6.00209363631164,6.33714104789079,80.0
Medfield/Hampden/Woodberry/Remington,Hampden/Remington,25.267648402613748,34.93863898898295,31.741189807072292,65098.5475896168,83911.682012848,32.0869044667609,32.4854727953352,64.25
Midway/Coldstream,Midway/Coldstream,26.447498946290946,35.77771254816955,32.506660946531795,35273.3828125,34145.4573643411,12.0494140728337,12.6513496753898,72.0
Morrell Park/Violetville,Morrell Park/Violetville,25.80978425646672,35.07647166770389,31.987738762027863,40950.8967391304,43180.1818181818,25.3280179747624,25.8242011707624,70.0
Mount Washington/Coldspring,Mount Washington/Coldspring,23.868753781290177,33.32108116539363,29.819136164259245,79992.6163793103,89823.5930232558,65.9543180333741,66.6179090117268,49.0
North Baltimore/Guilford/Homeland,North Baltimore/Guilford/Homeland,24.192610108095675,34.1129075149494,30.699542174563017,90704.5,140096.710674157,49.6001282683872,50.4042058656191,58.0
Northwood,Northwood,25.190603054058467,34.569979483096525,31.473162154989385,55416.125,68581.1376518219,28.3124567348002,27.9317200203979,71.75
Orangeville/East Highlandtown,Greektown/Bayview,26.58831879821745,35.31016399923331,32.31240116919833,51915.3014084507,61095.2358803987,12.6169655796834,12.1740891345782,78.0
Patterson Park North & East,Patterson Park North & East,26.873125370754856,36.33528983760937,33.1960134584013,69760.0417515274,88566.9359903382,5.50726254265894,6.45356373072198,74.0
Penn North/Reservoir Hill,Penn North/Reservoir Hill,25.15935279620356,34.51965732413938,31.321507695131224,34873.3268156424,35902.7740112994,41.2217944796196,40.4259259501928,76.0
Pimlico/Arlington/Hilltop,Pimlico/Arlington/Hilltop,25.460705434590192,35.06091343600637,31.810346964064436,30582.4077669902,35099.7862903226,23.136432323384,22.420099728506,60.5
Poppleton/The Terraces/Hollins Market,Poppleton/The Terraces/Hollins Market,26.18425263554217,35.23849122451344,32.24463478915663,20409.009090909,28075.3076923077,13.9627626854979,15.2956354735242,90.5
Sandtown-Winchester/Harlem Park,Sandtown-Winchester/Harlem Park,25.779916886483537,35.2366006458068,32.678796388939425,25208.9134328358,40018.3169642857,15.421205131086,16.1691829334169,84.5
South Baltimore,South Baltimore,26.812258978766906,34.933181944896155,32.015425358918364,109295.240184757,144841.440594059,4.96455366494243,5.8144663991809,79.0
Southeastern,Southeastern,26.763799730831423,34.8716366030538,32.01044238533709,33777.0222222222,58775.6534090909,4.91579983931311,5.08376434869773,75.0
Southern Park Heights,Southern Park Heights,25.14559420289855,34.84304106280193,31.619210144927536,24941.3746397694,44674.9353741497,29.5489551920687,29.1435308941343,75.0
Southwest Baltimore,Southwest Baltimore,25.954843491647186,35.33156821939677,32.409711927703974,25427.8423423423,44581.4166666667,14.1268343895109,15.1605427208896,89.0
The Waverlies,The Waverlies,25.87224711020796,35.43865129842711,32.01749709701256,39098.0174418604,55871.3192771084,19.8173883221856,20.5023505900283,72.0
Washington Village/Pigtown,Pigtown/Carroll Park,26.4824980846057,35.305505390466806,32.25838669074591,38851.6885245901,54419.412037037,11.352365738588,12.4843562674219,86.66666666666667
Westport/Mount Winans/Lakeland,Westport/Mount Winans/Lakeland,25.778364303467868,35.10574624215884,31.896801396614983,36645.2405063291,37264.171875,21.9623067684284,20.9901699357931,75.33333333333333
Oldtown/Middle East,Oldtown/Middle East,26.72926799877306,36.2768667017221,32.95814162394286,19127.3794871794,30510.0088888889,10.1002821855661,10.1496352917164,82.66666666666667
Harbor East/Little Italy,Harbor East/Little Italy,26.828571005371813,35.42490651990731,32.488867969243735,46666.3333333333,109946.67,6.5045273941557,7.32308964500335,84.0
Upton/Druid Heights,Upton/Druid Heights,26.19976085094232,35.50445380417539,32.403927914207756,20467.6978527607,29560.5875,14.4572280110483,15.5162372557557,86.0
Midtown,Midtown,26.653257603145192,36.05410321297845,32.69288038320756,47406.3954154727,56606.474537037,13.4073695145062,13.8293860159574,87.66666666666667
Greenmount East,Oliver/Johnson Square,26.56013658426459,36.04753993114347,32.6146503555706,26563.2611683848,42255.6129032258,13.5984839572215,13.7453724703289,84.33333333333333
