csa,illness_pctile,population
Allendale/Irvington/S. Hilton,72.0,71579.0
Beechfield/Ten Hills/West Hills,59.5,92790.0
Belair-Edison,77.0,82529.0
Brooklyn/Curtis Bay/Hawkins Point,82.5,41106.0
Canton,74.0,64882.0
Cedonia/Frankford,62.0,50846.0
Cherry Hill,75.0,67113.0
Chinquapin Park/Belvedere,53.5,61115.0
Claremont/Armistead,74.0,129784.0
Clifton-Berea,82.0,32733.0
Cross-Country/Cheswolde,61.666666666666664,120543.0
Dickeyville/Franklintown,65.0,48133.0
Dorchester/Ashburton,60.5,86626.0
Downtown/Seton Hill,92.0,16972.0
Edmondson Village,55.0,45213.0
Fells Point,77.0,15748.0
Forest Park/Walbrook,63.5,80204.0
Glen-Fallstaff,68.0,94078.0
Greater Charles Village/Barclay,75.0,67147.0
Greater Govans,62.0,82118.0
Greater Mondawmin,71.33333333333333,129343.0
Greater Roland Park/Poplar Hill,49.5,40757.0
Greater Rosemont,77.0,95548.0
Greenmount East,84.33333333333333,71711.0
Hamilton,62.5,71410.0
Harbor East/Little Italy,84.0,38580.0
Harford/Echodale,65.75,179636.0
Highlandtown,63.0,20564.0
Howard Park/West Arlington,68.5,108294.0
Inner Harbor/Federal Hill,87.33333333333333,73372.0
Lauraville,62.5,71410.0
Loch Raven,62.5,98545.0
Madison/East End,80.0,16146.0
Medfield/Hampden/Woodberry/Remington,64.25,95219.0
Midtown,87.66666666666667,76915.0
Midway/Coldstream,72.0,49796.0
Morrell Park/Violetville,70.0,112315.0
Mount Washington/Coldspring,49.0,26465.0
North Baltimore/Guilford/Homeland,58.0,96410.0
Northwood,71.75,100087.0
Oldtown/Middle East,82.66666666666667,54726.0
Orangeville/East Highlandtown,78.0,102025.0
Patterson Park North & East,74.0,64882.0
Penn North/Reservoir Hill,76.0,97272.0
Pimlico/Arlington/Hilltop,60.5,86626.0
Poppleton/The Terraces/Hollins Market,90.5,43338.0
Sandtown-Winchester/Harlem Park,84.5,63477.0
South Baltimore,79.0,33568.0
Southeastern,75.0,104920.0
Southern Park Heights,75.0,77512.0
Southwest Baltimore,89.0,26366.0
The Waverlies,72.0,49796.0
Upton/Druid Heights,86.0,54083.0
Washington Village/Pigtown,86.66666666666667,76906.0
Westport/Mount Winans/Lakeland,75.33333333333333,100647.0
