zip,csa,id
21201,Downtown/Seton Hill,14
21201,Inner Harbor/Federal Hill,28
21201,Midtown,54
21201,Poppleton/The Terraces/Hollins Market,42
21201,Upton/Druid Heights,53
21201,Washington Village/Pigtown,49
21202,Greenmount East,55
21202,Harbor East/Little Italy,52
21202,Inner Harbor/Federal Hill,28
21202,Midtown,54
21202,Oldtown/Middle East,51
21202,Orangeville/East Highlandtown,38
21205,Claremont/Armistead,9
21205,Greenmount East,55
21205,Madison/East End,31
21205,Oldtown/Middle East,51
21206,Cedonia/Frankford,6
21206,Claremont/Armistead,9
21206,Hamilton,24
21206,Harford/Echodale,25
21206,Lauraville,29
21207,Dickeyville/Franklintown,12
21207,Forest Park/Walbrook,17
21207,Howard Park/West Arlington,27
21208,Cross-Country/Cheswolde,11
21208,Glen-Fallstaff,18
21209,Cross-Country/Cheswolde,11
21209,Dorchester/Ashburton,13
21209,Greater Roland Park/Poplar Hill,22
21209,Medfield/Hampden/Woodberry/Remington,32
21209,Mount Washington/Coldspring,35
21209,Pimlico/Arlington/Hilltop,41
21210,Greater Roland Park/Poplar Hill,22
21210,Medfield/Hampden/Woodberry/Remington,32
21210,North Baltimore/Guilford/Homeland,36
21211,Greater Charles Village/Barclay,19
21211,Medfield/Hampden/Woodberry/Remington,32
21211,Southern Park Heights,46
21212,Chinquapin Park/Belvedere,8
21212,Greater Govans,20
21212,North Baltimore/Guilford/Homeland,36
21213,Belair-Edison,3
21213,Claremont/Armistead,9
21213,Clifton-Berea,10
21213,Greenmount East,55
21214,Hamilton,24
21214,Harford/Echodale,25
21214,Highlandtown,26
21214,Lauraville,29
21214,Northwood,37
21215,Cross-Country/Cheswolde,11
21215,Dorchester/Ashburton,13
21215,Glen-Fallstaff,18
21215,Greater Mondawmin,21
21215,Howard Park/West Arlington,27
21215,Penn North/Reservoir Hill,40
21215,Pimlico/Arlington/Hilltop,41
21215,Southern Park Heights,46
21216,Forest Park/Walbrook,17
21216,Greater Mondawmin,21
21216,Greater Rosemont,23
21217,Greater Mondawmin,21
21217,Greater Rosemont,23
21217,Medfield/Hampden/Woodberry/Remington,32
21217,Midtown,54
21217,Penn North/Reservoir Hill,40
21217,Sandtown-Winchester/Harlem Park,43
21217,Upton/Druid Heights,53
21218,Belair-Edison,3
21218,Greater Charles Village/Barclay,19
21218,Greater Govans,20
21218,Midway/Coldstream,33
21218,North Baltimore/Guilford/Homeland,36
21218,Northwood,37
21218,The Waverlies,48
21222,Southeastern,45
21223,Allendale/Irvington/S. Hilton,1
21223,Greater Rosemont,23
21223,Poppleton/The Terraces/Hollins Market,42
21223,Sandtown-Winchester/Harlem Park,43
21223,Southwest Baltimore,47
21223,Washington Village/Pigtown,49
21224,Canton,5
21224,Orangeville/East Highlandtown,38
21224,Patterson Park North & East,39
21224,Southeastern,45
21225,Brooklyn/Curtis Bay/Hawkins Point,4
21225,Cherry Hill,7
21225,Westport/Mount Winans/Lakeland,50
21226,Brooklyn/Curtis Bay/Hawkins Point,4
21227,Morrell Park/Violetville,34
21227,Westport/Mount Winans/Lakeland,50
21228,Beechfield/Ten Hills/West Hills,2
21229,Allendale/Irvington/S. Hilton,1
21229,Beechfield/Ten Hills/West Hills,2
21229,Edmondson Village,15
21229,Morrell Park/Violetville,34
21230,Cherry Hill,7
21230,Inner Harbor/Federal Hill,28
21230,Morrell Park/Violetville,34
21230,South Baltimore,44
21230,Washington Village/Pigtown,49
21230,Westport/Mount Winans/Lakeland,50
21231,Canton,5
21231,Fells Point,16
21231,Harbor East/Little Italy,52
21231,Oldtown/Middle East,51
21231,Patterson Park North & East,39
21234,Harford/Echodale,25
21234,Loch Raven,30
21236,Harford/Echodale,25
21237,Claremont/Armistead,9
21237,Orangeville/East Highlandtown,38
21239,Chinquapin Park/Belvedere,8
21239,Loch Raven,30
21239,Northwood,37
21251,Northwood,37
21287,Oldtown/Middle East,51
21292,Downtown/Seton Hill,14
